,name,semantic
103,android.permission.BATTERY_STATS,Collect battery statistics.
104,android.permission.BLUETOOTH,Connect to Bluetooth devices.
105,android.permission.BROADCAST_SMS,Send SMS broadcast.
106,android.permission.BROADCAST_STICKY,Make sticky broadcasts.
107,android.permission.CALL_PHONE,Make phone calls.
108,android.permission.CAMERA,Take pictures and videos.
109,android.permission.CHANGE_COMPONENT_ENABLED_STATE,Enable or disable app components.
110,android.permission.CHANGE_CONFIGURATION,Change system configuration.
111,android.permission.CHANGE_NETWORK_STATE,Change network connectivity.
112,android.permission.CHANGE_WIFI_MULTICAST_STATE,Allow Wi-Fi multicast reception.
113,android.permission.CHANGE_WIFI_STATE,Change Wi-Fi connectivity.
114,android.permission.CLEAR_APP_CACHE,Clear app cache.
115,android.permission.CONTROL_LOCATION_UPDATES,Control location update notifications.
116,android.permission.DELETE_CACHE_FILES,Delete cache files.
117,android.permission.DELETE_PACKAGES,Delete apps.
118,android.permission.DEVICE_POWER,Power device on or off.
119,android.permission.DISABLE_KEYGUARD,Disable lock screen.
120,android.permission.EXPAND_STATUS_BAR,Expand or collapse status bar.
121,android.permission.FLASHLIGHT,Use flashlight.
122,android.permission.GET_PACKAGE_SIZE,Get app size.
123,android.permission.GET_TASKS,Retrieve running apps.
124,android.permission.INSTALL_PACKAGES,Install applications.
125,android.permission.INTERNET,Full internet access.
126,android.permission.KILL_BACKGROUND_PROCESSES,Kill background processes.
127,android.permission.MODIFY_PHONE_STATE,Modify phone status.
128,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,Mount or unmount file systems.
129,android.permission.NFC,Perform NFC transactions.
130,android.permission.PERSISTENT_ACTIVITY,Make app persistent.
131,android.permission.PROCESS_OUTGOING_CALLS,Intercept outgoing calls.
132,android.permission.READ_CALL_LOG,Read call log.
133,android.permission.READ_CONTACTS,Read contacts.
134,android.permission.READ_EXTERNAL_STORAGE,Read external storage.
135,android.permission.READ_LOGS,Read system log files.
136,android.permission.READ_PHONE_STATE,Access phone state.
137,android.permission.READ_PROFILE,Access user profile.
138,android.permission.READ_SMS,Read SMS messages.
139,android.permission.RECEIVE_BOOT_COMPLETED,Receive boot completed notification.
140,android.permission.RECEIVE_MMS,Receive MMS messages.
141,android.permission.RECEIVE_SMS,Receive SMS messages.
142,android.permission.RECEIVE_WAP_PUSH,Receive WAP push messages.
143,android.permission.RECORD_AUDIO,Record audio.
144,android.permission.RESTART_PACKAGES,Restart other applications.
145,android.permission.SEND_SMS,Send SMS messages.
146,android.permission.SET_WALLPAPER,Set wallpaper.
147,android.permission.SET_WALLPAPER_HINTS,Set wallpaper size hints.
148,android.permission.STATUS_BAR,Interact with status bar.
149,android.permission.SYSTEM_ALERT_WINDOW,Display system-level alerts.
150,android.permission.UPDATE_DEVICE_STATS,Update device statistics.
151,android.permission.USE_CREDENTIALS,Use accounts on the device.
152,android.permission.VIBRATE,Control vibration.
153,android.permission.WAKE_LOCK,Prevent phone from sleeping.
154,android.permission.WRITE_APN_SETTINGS,Write APN settings.
155,android.permission.WRITE_SETTINGS,Modify system settings.
156,android.permission.WRITE_SMS,Write SMS messages.
157,android.permission.WRITE_EXTERNAL_STORAGE,Write to external storage.
